account_key,status,join_date,cancel_date,days_to_cancel,is_udacity,is_canceled
448,canceled,2014-11-10,2015-01-14,65,True,True
448,canceled,2014-11-05,2014-11-10,5,True,True
448,canceled,2015-01-27,2015-01-27,0,True,True
448,canceled,2014-11-10,2014-11-10,0,True,True
448,current,2015-03-10,,,True,False
448,canceled,2015-01-14,2015-01-27,13,True,True
448,canceled,2015-01-27,2015-03-10,42,True,True
448,canceled,2015-01-27,2015-01-27,0,True,True
448,canceled,2015-01-27,2015-01-27,0,True,True
700,canceled,2014-11-10,2014-11-16,6,False,True
429,canceled,2014-11-10,2015-03-10,120,False,True
429,canceled,2015-03-10,2015-06-17,99,False,True
60,canceled,2014-11-10,2015-01-14,65,False,True
60,canceled,2015-01-14,2015-04-01,77,False,True
60,current,2015-04-01,,,False,False
1300,canceled,2014-11-10,2014-11-16,6,False,True
369,current,2014-11-10,,,False,False
322,canceled,2014-11-10,2015-02-02,84,False,True
322,canceled,2015-02-12,2015-02-12,0,False,True
322,canceled,2015-02-12,2015-03-10,26,False,True
322,current,2015-03-10,,,False,False
336,current,2014-11-10,,,False,False
553,current,2014-11-10,,,False,False
584,canceled,2014-11-10,2015-01-14,65,False,True
584,canceled,2015-01-14,2015-03-10,55,False,True
584,current,2015-03-10,,,False,False
1006,canceled,2014-11-10,2014-11-17,7,False,True
458,canceled,2014-11-10,2015-04-01,142,False,True
458,canceled,2015-04-04,2015-04-06,2,False,True
458,current,2015-04-06,,,False,False
1058,canceled,2014-11-10,2015-01-14,65,False,True
1058,canceled,2015-01-14,2015-03-10,55,False,True
1058,current,2015-03-10,,,False,False
206,current,2014-11-10,,,False,False
45,canceled,2014-11-10,2015-03-10,120,False,True
45,current,2015-03-10,,,False,False
315,canceled,2014-11-10,2015-05-17,188,False,True
604,current,2014-11-10,,,False,False
204,current,2014-11-10,,,False,False
408,canceled,2014-11-10,2015-03-10,120,False,True
408,canceled,2015-03-10,2015-04-01,22,False,True
408,canceled,2015-04-01,2015-04-17,16,False,True
51,canceled,2014-11-10,2015-03-10,120,False,True
51,canceled,2015-03-10,2015-06-17,99,False,True
323,canceled,2014-11-10,2015-04-17,158,False,True
568,current,2014-11-10,,,False,False
130,canceled,2014-11-10,2015-03-10,120,False,True
130,canceled,2015-03-10,2015-04-01,22,False,True
130,canceled,2015-04-01,2015-06-17,77,False,True
550,canceled,2014-11-10,2015-05-02,173,False,True
